,bins10lfm,bins20lfm,binsname,bins5lfm,dry.wt,dw.flam.sample,fd,fh,fresh.wt,gd,gdw.gfw,gdw.gww,gdw.gww.saturated,glow,gr,gti,gww.gdw,gww.gdw.saturated,hydration,ignition,ignition.temp,individual,lfm.NAs.imputed,lfm.notes,lfm.outliers.out,max.mpa.sample,model,model.spp.gr,model.spp.gr.sample,month,mpa,pfg,precip.2mo,precip.2month,prop.ignite,prop.new,ros,round,RWC,RWD,sample,sample.wt,season,site,spp,start.temp,temp.change,temp.max,ttfg,tti,water.wt,ww.flam.sample,year,year.month,flam.index,mean.wt,dry.norm.fh,dry.norm.gd,dry.norm.fd,dry.norm.pfg,dry.norm.ttfg,dry.norm.tti,dry.norm.gti
99,"(40,50]","(40,60]",40,"(45,50]",1.0635,0.354385976,7,16,1.5545,75,0.684142811,2.16598778,0.32,1,"(40,50]",7,0.461683122,1.355,dry,1,265.1,2016_December_ADFA_3,46.16831218,0,46.16831218,-0.4,EPI,"2016_December_EPI_ADFA_(40,50]","2016_December_EPI_ADFA_(40,50]_3",December,8.5,61,0.61,2016_December,100,100,1.428571429,17,34.07255511,65.92744489,3,0.518,Dry,St. Marys,ADFA,272.6,96.1,368.7,19,26,0.491,0.163614024,2016,2016_December,14.34941371,0.505959643,45.14851341,211.6336566,19.75247462,172.1287074,53.61385968,73.3663343,19.75247462
101,"(40,50]","(40,60]",40,"(45,50]",0.3505,0.360208214,3,14,0.5235,104,0.669531996,2.026011561,0.45480226,1,"(40,50]",19,0.493580599,1.455026455,dry,1,265.1,2016_December_ADFA_2,49.35805991,0,49.35805991,-0.6,EPI,"2016_December_EPI_ADFA_(40,50]","2016_December_EPI_ADFA_(40,50]_2",December,9.5,82,0.61,2016_December,100,100,3.333333333,18,33.92244845,66.07755155,2,0.538,Dry,St. Marys,ADFA,279.3,18.2,297.5,6,25,0.173,0.177791786,2016,2016_December,14.16009949,0.505959643,38.86640964,288.7219002,8.328516352,227.6461136,16.6570327,69.40430293,52.74727023
102,"(40,50]","(40,60]",40,"(45,50]",0.032,0.123636364,2,8,0.132,121,0.242424242,0.32,0.32,1,"(40,50]",29,0.474447078,1.355,dry,1,265.1,2016_December_ADFA_3,47.44470779,"Double checked, correct weights",NA,-0.4,EPI,"2016_December_EPI_ADFA_(40,50]","2016_December_EPI_ADFA_(40,50]_3",December,9.5,90,0.61,2016_December,100,100,5,18,35.0145445,64.9854555,3,0.51,Dry,St. Marys,ADFA,274.7,35.3,310,4,33,0.1,0.386363636,2016,2016_December,11.1758816,0.505959643,64.70588235,978.6764706,16.17647059,727.9411765,32.35294118,266.9117647,234.5588235
127,"(50,60]","(40,60]",40,"(50,55]",0.2721,0.339263513,9,13,0.4185,112,0.650179211,1.858606557,1.174787803,1,"(50,60]",24,0.538136372,0.85133146,dry,1,265.1,2018_January_ADFA_1,53.8136372,0,53.8136372,-0.7,EPI,"2018_January_EPI_ADFA_(50,60]","2018_January_EPI_ADFA_(50,60]_1",January,4.2,79,0.09,2018_January,87,100,1.111111111,5,63.21114599,36.78885401,1,0.5218,Dry,St. Marys,ADFA,276.8,28.7,305.5,6,30,0.1464,0.182536487,2018,2018_January,12.84380439,0.505959643,38.3182969,330.1268656,26.5280517,232.8573427,17.6853678,88.42683899,70.74147119
129,"(50,60]","(40,60]",40,"(55,60]",0.3343,0.310140611,2,4.5,0.5272,139,0.634104704,1.733022291,1.266456267,1,"(50,60]",45,0.577026623,0.789604842,dry,1,265.1,2018_January_ADFA_3,57.70266228,0,57.70266228,-0.6,EPI,"2018_January_EPI_ADFA_(50,60]","2018_January_EPI_ADFA_(50,60]_3",January,4.8,92,0.09,2018_January,87,100,5,5,73.07789826,26.92210174,3,0.4891,Dry,St. Marys,ADFA,272.1,13.2,285.3,4,49,0.1929,0.178959389,2018,2018_January,8.609533864,0.505959643,14.50954775,448.1838082,6.448687887,296.6396428,12.89737577,157.9928532,145.0954775
131,"(50,60]","(40,60]",40,"(50,55]",0.3497,0.341431167,4,4.5,0.5371,138,0.651089183,1.8660619,1.227836034,1,"(50,60]",50,0.535887904,0.814440994,dry,1,265.1,2018_January_ADFA_5,53.58879039,0,53.58879039,-0.7,EPI,"2018_January_EPI_ADFA_(50,60]","2018_January_EPI_ADFA_(50,60]_5",January,6.3,84,0.09,2018_January,87,100,2.5,5,65.79824788,34.20175212,5,0.5244,Dry,St. Marys,ADFA,281.8,21.1,302.9,5,55,0.1874,0.182968833,2018,2018_January,8.192874942,0.505959643,13.17981611,404.1810273,11.7153921,246.023234,14.64424012,161.0866413,146.4424012
132,"(40,50]","(40,60]",40,"(45,50]",0.2993,0.329987976,6,17,0.4462,120,0.670775437,2.037440436,1.340757883,1,"(40,50]",20,0.490893901,0.745927285,dry,1,265.1,2018_January_ADFA_6,49.08939014,Missing flam weight,49.08939014,-0.5,EPI,"2018_January_EPI_ADFA_(40,50]","2018_January_EPI_ADFA_(40,50]_6",January,8.3,94,0.09,2018_January,73,100,1.666666667,5,65.80988678,34.19011322,6,0.49195,Dry,St. Marys,ADFA,279.7,39.8,319.5,6,26,0.1469,0.161962024,2018,2018_January,14.55565675,0.505959643,51.51702857,363.6496134,18.18248067,284.8588639,18.18248067,78.79074958,60.60826891
133,"(50,60]","(40,60]",40,"(55,60]",0.2738,0.306825231,11,13.5,0.4336,119,0.631457565,1.71339174,1.239268121,1,"(50,60]",16,0.583744292,0.806927882,dry,1,265.1,2018_January_ADFA_2,58.37442922,0,58.37442922,-0.5,EPI,"2018_January_EPI_ADFA_(50,60]","2018_January_EPI_ADFA_(50,60]_2",January,6.3,92,0.09,2018_January,87,100,0.909090909,6,72.34156922,27.65843078,2,0.4859,Dry,St. Marys,ADFA,279.6,47.4,327,5,21,0.1598,0.179074769,2018,2018_January,15.15593434,0.505959643,43.99898917,387.8429416,35.85102821,299.8449632,16.29592192,68.44287204,52.14695013
134,"(50,60]","(40,60]",40,"(50,55]",0.3092,0.317653907,10,14,0.4645,101,0.665662002,1.99098519,1.266456267,1,"(50,60]",3,0.50234514,0.789604842,dry,1,265.1,2018_January_ADFA_3,50.23451399,0,50.23451399,-0.6,EPI,"2018_January_EPI_ADFA_(50,60]","2018_January_EPI_ADFA_(50,60]_3",January,6.2,88,0.09,2018_January,87,100,1,6,63.61981506,36.38018494,3,0.4772,Dry,St. Marys,ADFA,278.8,41.3,320.1,16,19,0.1553,0.159546093,2018,2018_January,15.94605799,0.505959643,44.07312384,317.9561077,31.48080274,277.0310641,50.36928439,59.81352521,9.444240823
137,"(40,50]","(40,60]",40,"(40,45]",0.2793,0.34345117,6,10,0.3975,177,0.702641509,2.362944162,1.340757883,1,"(40,50]",25,0.423200859,0.745927285,dry,1,265.1,2018_January_ADFA_6,42.32008593,0,42.32008593,-0.5,EPI,"2018_January_EPI_ADFA_(40,50]","2018_January_EPI_ADFA_(40,50]_6",January,9.6,146,0.09,2018_January,73,100,1.666666667,6,56.73486787,43.26513213,6,0.4888,Dry,St. Marys,ADFA,281.3,4.1,285.4,11,36,0.1182,0.14534883,2018,2018_January,11.20660065,0.505959643,29.11622053,515.3571033,17.46973232,425.0968197,32.02784258,104.8183939,72.79055131
138,"(40,50]","(40,60]",40,"(45,50]",0.1779,0.306331198,2,6,0.2654,113,0.670308968,2.035469108,1.174787803,1,"(40,50]",24,0.491149199,0.85133146,dry,1,265.1,2018_January_ADFA_1,49.11491992,0,49.11491992,-0.7,EPI,"2018_January_EPI_ADFA_(40,50]","2018_January_EPI_ADFA_(40,50]_1",January,5.4,87,0.09,2018_January,73,100,5,7,57.6918888,42.3081112,1,0.457,Dry,St. Marys,ADFA,281,9.8,290.8,10,34,0.0874,0.150668802,2018,2018_January,10.52373354,0.505959643,19.58664359,368.8817876,6.528881197,284.0063321,32.64440599,110.9909804,78.34657437
139,"(50,60]","(40,60]",40,"(50,55]",0.5104,0.344784069,7,11,0.7683,126,0.664323832,1.979061652,1.239268121,1,"(50,60]",18,0.505289969,0.806927882,dry,1,265.1,2018_January_ADFA_2,50.52899687,0,50.52899687,-0.5,EPI,"2018_January_EPI_ADFA_(50,60]","2018_January_EPI_ADFA_(50,60]_2",January,9,101,0.09,2018_January,87,100,1.428571429,7,62.61897501,37.38102499,2,0.519,Dry,St. Marys,ADFA,278.8,4.6,283.4,8,26,0.2579,0.174215931,2018,2018_January,13.21152752,0.505959643,31.90402631,365.4461196,20.3025622,292.9369689,23.20292823,75.40951673,52.20658851
140,"(50,60]","(40,60]",40,"(55,60]",0.478,0.311971277,13,13,0.752,135,0.635638298,1.744525547,1.266456267,1,"(50,60]",9,0.573281724,0.789604842,dry,1,265.1,2018_January_ADFA_3,57.3281724,0,57.3281724,-0.6,EPI,"2018_January_EPI_ADFA_(50,60]","2018_January_EPI_ADFA_(50,60]_3",January,6.7,113,0.09,2018_January,87,100,0.769230769,7,72.6036232,27.3963768,3,0.4908,Dry,St. Marys,ADFA,281.3,19.2,300.5,8,17,0.274,0.178828723,2018,2018_January,16.43008584,0.505959643,41.67050294,432.732146,41.67050294,362.2128333,25.64338643,54.49219616,28.84880973
142,"(50,60]","(40,60]",40,"(55,60]",0.3953,0.331637218,14,12,0.629,113,0.62845787,1.69148481,1.227836034,1,"(50,60]",9,0.59119656,0.814440994,dry,1,265.1,2018_January_ADFA_5,59.11965596,0,59.11965596,-0.7,EPI,"2018_January_EPI_ADFA_(50,60]","2018_January_EPI_ADFA_(50,60]_5",January,6.2,90,0.09,2018_January,87,100,0.714285714,7,72.58924392,27.41075608,5,0.5277,Dry,St. Marys,ADFA,281.8,34.7,316.5,11,20,0.2337,0.196062782,2018,2018_January,15.08448518,0.505959643,36.18411733,340.7337715,42.21480355,271.38088,33.16877422,60.30686222,27.138088
144,"(40,50]","(40,60]",40,"(45,50]",0.4579,0.304385568,18,11.5,0.6756,102,0.67776791,2.103353238,1.239268121,1,"(40,50]",5,0.475431317,0.806927882,dry,1,265.1,2018_January_ADFA_2,47.54313169,0,47.54313169,-0.5,EPI,"2018_January_EPI_ADFA_(40,50]","2018_January_EPI_ADFA_(40,50]_2",January,9.9,79,0.09,2018_January,73,100,0.555555556,8,58.91868748,41.08131252,2,0.4491,Dry,St. Marys,ADFA,283.6,24.3,307.9,4,9,0.2177,0.144714432,2018,2018_January,20.25295455,0.505959643,37.78102905,335.1013011,59.13552372,259.539243,13.14122749,29.56776186,16.42653437
145,"(40,50]","(40,60]",40,"(40,45]",0.3309,0.350022362,9,14.5,0.4776,124,0.692839196,2.255623722,1.266456267,1,"(40,50]",15,0.443403355,0.789604842,dry,1,265.1,2018_January_ADFA_3,44.3403355,0,44.3403355,-0.6,EPI,"2018_January_EPI_ADFA_(40,50]","2018_January_EPI_ADFA_(40,50]_3",January,10,100,0.09,2018_January,73,100,1.111111111,8,56.15509577,43.84490423,3,0.5052,Dry,St. Marys,ADFA,276,26.7,302.7,7,22,0.1467,0.155177638,2018,2018_January,15.09471866,0.505959643,41.42592469,354.2630801,25.71264291,285.6960323,19.99872226,62.85312712,42.85440485
146,"(40,50]","(40,60]",40,"(45,50]",0.4532,0.327258952,4,5,0.6758,143,0.670612607,2.035938904,1.213397129,1,"(40,50]",36,0.49122807,0.824132492,dry,1,265.1,2018_January_ADFA_4,49.12280702,0,49.12280702,-0.8,EPI,"2018_January_EPI_ADFA_(40,50]","2018_January_EPI_ADFA_(40,50]_4",January,7.7,103,0.09,2018_January,73,100,2.5,8,59.60547302,40.39452698,4,0.488,Dry,St. Marys,ADFA,282.8,4.2,287,5,41,0.2226,0.160741048,2018,2018_January,9.435987758,0.505959643,15.27842085,436.9628362,12.22273668,314.7354694,15.27842085,125.2830509,110.0046301
147,"(50,60]","(40,60]",40,"(50,55]",0.2835,0.327033459,4,11.5,0.4259,102,0.665649213,1.990870787,1.227836034,1,"(50,60]",20,0.502292769,0.814440994,dry,1,265.1,2018_January_ADFA_5,50.2292769,0,50.2292769,-0.7,EPI,"2018_January_EPI_ADFA_(50,60]","2018_January_EPI_ADFA_(50,60]_5",January,8.1,78,0.09,2018_January,87,100,2.5,8,61.67331615,38.32668385,5,0.4913,Dry,St. Marys,ADFA,276.2,13,289.2,12,32,0.1424,0.164266541,2018,2018_January,12.15416811,0.505959643,35.16459769,311.8946925,12.23116441,238.507706,36.69349324,97.8493153,61.15582206
149,"(50,60]","(40,60]",40,"(55,60]",0.3339,0.291856672,10,13,0.5186,136,0.643848824,1.807796427,1.174787803,1,"(50,60]",17,0.553242474,0.85133146,dry,1,265.1,2018_January_ADFA_1,55.32424742,0,55.32424742,-0.7,EPI,"2018_January_EPI_ADFA_(50,60]","2018_January_EPI_ADFA_(50,60]_1",January,7.6,109,0.09,2018_January,87,100,1,9,64.98555501,35.01444499,1,0.4533,Dry,St. Marys,ADFA,276.8,28.2,305,14,31,0.1847,0.161443328,2018,2018_January,12.65672163,0.505959643,44.54241159,465.982152,34.26339353,373.4709895,47.96875094,106.2165199,58.247769
151,"(40,50]","(40,60]",40,"(45,50]",0.2891,0.333464818,10,14.5,0.4265,150,0.677842907,2.104075691,1.213397129,1,"(40,50]",16,0.475350285,0.824132492,dry,1,265.1,2018_January_ADFA_4,47.53502854,Missing flam weight,47.53502854,-0.8,EPI,"2018_January_EPI_ADFA_(40,50]","2018_January_EPI_ADFA_(40,50]_4",January,9.4,124,0.09,2018_January,73,100,1,9,57.67886717,42.32113283,4,0.49195,Dry,St. Marys,ADFA,278.7,38.1,316.8,8,24,0.1374,0.158485182,2018,2018_January,14.5318258,0.505959643,43.48284798,449.8225653,29.98817102,371.8533206,23.99053682,71.97161045,47.98107363
153,"(40,50]","(40,60]",40,"(45,50]",0.3258,0.324564349,16,10,0.4746,134,0.686472819,2.189516129,1.340757883,1,"(40,50]",16,0.456792018,0.745927285,dry,1,265.1,2018_January_ADFA_6,45.67920184,0,45.67920184,-0.5,EPI,"2018_January_EPI_ADFA_(40,50]","2018_January_EPI_ADFA_(40,50]_6",January,9.2,102,0.09,2018_January,73,100,0.625,9,61.23814317,38.76185683,6,0.4728,Dry,St. Marys,ADFA,281.8,24.1,305.9,1,17,0.1488,0.148235651,2018,2018_January,15.55503572,0.505959643,30.8105312,412.8611181,49.29684993,314.2674183,3.08105312,52.37790305,49.29684993
155,"(40,50]","(40,60]",40,"(40,45]",0.3306,0.355581481,3,12,0.4698,130,0.703703704,2.375,1.266456267,1,"(40,50]",33,0.421052632,0.789604842,dry,1,265.1,2018_January_ADFA_3,42.10526316,0,42.10526316,-0.6,EPI,"2018_January_EPI_ADFA_(40,50]","2018_January_EPI_ADFA_(40,50]_3",January,9.5,94,0.09,2018_January,73,100,3.333333333,10,53.3244744,46.6755256,3,0.5053,Dry,St. Marys,ADFA,281.3,6.6,287.9,1,34,0.1392,0.149718519,2018,2018_January,11.93538085,0.505959643,33.74753924,365.5983418,8.43688481,264.3557241,2.812294937,95.61802785,92.80573292
156,"(50,60]","(40,60]",40,"(50,55]",0.5177,0.307355225,8,12,0.777,88,0.666280566,1.996529117,1.213397129,1,"(50,60]",8,0.500917608,0.824132492,dry,1,265.1,2018_January_ADFA_4,50.09176084,0,50.09176084,-0.8,EPI,"2018_January_EPI_ADFA_(50,60]","2018_January_EPI_ADFA_(50,60]_4",January,8.4,72,0.09,2018_January,87,100,1.25,10,60.7811988,39.2188012,4,0.4613,Dry,St. Marys,ADFA,282.6,34.2,316.8,9,17,0.2593,0.153944775,2018,2018_January,16.1481657,0.505959643,39.04277206,286.3136618,26.02851471,234.2566324,29.28207905,55.31059375,26.02851471
157,"(40,50]","(40,60]",40,"(45,50]",0.3752,0.357602005,2,7.5,0.5586,144,0.671679198,2.045801527,1.227836034,1,"(40,50]",24,0.48880597,0.814440994,dry,1,265.1,2018_January_ADFA_5,48.88059701,0,48.88059701,-0.7,EPI,"2018_January_EPI_ADFA_(40,50]","2018_January_EPI_ADFA_(40,50]_5",January,9.3,118,0.09,2018_January,73,100,5,10,60.01735839,39.98264161,5,0.5324,Dry,St. Marys,ADFA,282.8,10.9,293.7,12,36,0.1834,0.174797995,2018,2018_January,10.62940251,0.505959643,20.97303677,402.682306,5.592809805,329.9757785,33.55685883,100.6705765,67.11371766
159,"(50,60]","(40,60]",40,"(55,60]",0.4908,0.319082923,9,11.5,0.78,125,0.629230769,1.697095436,1.239268121,1,"(50,60]",14,0.589182031,0.806927882,dry,1,265.1,2018_January_ADFA_2,58.91820312,0,58.91820312,-0.5,EPI,"2018_January_EPI_ADFA_(50,60]","2018_January_EPI_ADFA_(50,60]_2",January,6.6,102,0.09,2018_January,87,100,1.111111111,11,73.01545087,26.98454913,2,0.5071,Dry,St. Marys,ADFA,277.2,-146.1,131.1,10,24,0.2892,0.188017077,2018,2018_January,13.81347874,0.505959643,36.04078805,391.7476962,28.20583412,319.6661201,31.33981569,75.21555766,43.87574197
160,"(40,50]","(40,60]",40,"(45,50]",0.2632,0.325455738,1,3.5,0.3843,139,0.684881603,2.173410405,1.266456267,1,"(40,50]",38,0.460193806,0.789604842,dry,1,265.1,2018_January_ADFA_3,46.01938058,0,46.01938058,-0.6,EPI,"2018_January_EPI_ADFA_(40,50]","2018_January_EPI_ADFA_(40,50]_3",January,8,100,0.09,2018_January,73,100,10,11,58.28153293,41.71846707,3,0.4752,Dry,St. Marys,ADFA,280.6,15.8,296.4,3,41,0.1211,0.149744262,2018,2018_January,9.052445684,0.505959643,10.75415055,427.0934075,3.072614442,307.2614442,9.217843327,125.9771921,116.7593488
161,"(50,60]","(40,60]",40,"(55,60]",0.4992,0.350495444,9,17,0.7946,89,0.628240624,1.689911984,1.174787803,1,"(50,60]",18,0.59180607,0.85133146,dry,1,265.1,2018_January_ADFA_1,59.18060703,0,59.18060703,-0.7,EPI,"2018_January_EPI_ADFA_(50,60]","2018_January_EPI_ADFA_(50,60]_1",January,7.6,62,0.09,2018_January,87,100,1.111111111,12,69.51535309,30.48464691,1,0.5579,Dry,St. Marys,ADFA,278.2,2.8,281,11,29,0.2954,0.207404556,2018,2018_January,13.8651399,0.505959643,48.50277023,253.9262677,25.67793718,176.8924561,31.38414544,82.74001981,51.35587436
208,"(40,50]","(40,60]",40,"(45,50]",0.3918,0.328459112,8,13,0.5833,87,0.671695525,2.045953003,0.478717201,1,"(40,50]",13,0.488832163,1.479640844,dry,1,278.8,2019_December_CEME_4,48.88321634,0,48.88321634,-0.58,EPI,"2019_December_EPI_CEME_(40,50]","2019_December_EPI_CEME_(40,50]_4",December,3.98,66,3.69,2019_December,100,100,1.25,10,33.03721747,66.96278253,4,0.489,Wet,St. Marys,CEME,284.5,3.6,288.1,12,25,0.1915,0.160540888,2019,2019_December,13.92888442,0.522964977,39.57874672,264.8731511,24.35615183,200.9382526,36.53422774,76.11297446,39.57874672
223,"(50,60]","(40,60]",40,"(50,55]",0.427,0.377031915,9,13,0.658,133,0.64893617,1.848484848,0.314155942,1,"(50,60]",10,0.540983607,1.497320472,dry,1,278.8,2019_December_CEME_2,54.09836066,0,54.09836066,-0.167,EPI,"2019_December_EPI_CEME_(50,60]","2019_December_EPI_CEME_(50,60]_2",December,6.01,114,3.69,2019_December,83,100,1.111111111,12,36.13011488,63.86988512,2,0.581,Wet,St. Marys,CEME,276.2,2.9,279.1,27,37,0.231,0.203968085,2019,2019_December,11.69296194,0.522964977,34.47983973,352.7552834,23.87065828,302.3616715,71.61197483,98.13492847,26.52295364
225,"(50,60]","(40,60]",40,"(55,60]",0.1434,0.149726471,2,7,0.408,116,0.351470588,0.541950113,0.367606193,1,"(50,60]",45,0.593117051,1.313260941,dry,1,278.8,2019_December_CEME_1,59.31170506,0,NA,-0.163,EPI,"2019_December_EPI_CEME_(50,60]","2019_December_EPI_CEME_(50,60]_1",December,9,69,3.69,2019_December,83,100,5,13,45.16368622,54.83631378,1,0.426,Wet,St. Marys,CEME,278.1,-4.4,273.7,18,45,0.2646,0.276273529,2019,2019_December,9.516909464,0.522964977,46.75192017,774.7461056,13.35769148,460.8403559,120.2192233,300.5480582,300.5480582
232,"(50,60]","(40,60]",40,"(55,60]",0.405,0.369672897,3,9,0.642,210,0.630841121,1.708860759,0.314155942,1,"(50,60]",30,0.585185185,1.497320472,dry,1,278.8,2019_December_CEME_2,58.51851852,0,58.51851852,-0.167,EPI,"2019_December_EPI_CEME_(50,60]","2019_December_EPI_CEME_(50,60]_2",December,9.21,177,3.69,2019_December,83,100,3.333333333,16,39.08216017,60.91783983,2,0.586,Wet,St. Marys,CEME,253.2,13.5,266.7,20,50,0.237,0.216327103,2019,2019_December,9.499733643,0.522964977,24.34584755,568.0697763,8.115282518,478.8016686,54.10188345,135.2547086,81.15282518
233,"(50,60]","(40,60]",40,"(50,55]",0.416,0.391322034,7,18,0.472,123,0.881355932,0.881355932,0.314155942,1,"(50,60]",21,0.535287351,1.497320472,dry,1,278.8,2019_December_CEME_2,53.52873507,no lfm,NA,-0.167,EPI,"2019_December_EPI_CEME_(50,60]","2019_December_EPI_CEME_(50,60]_2",December,10,95,3.69,2019_December,83,100,1.428571429,17,35.7496849,64.2503151,2,0.444,Wet,St. Marys,CEME,279.3,3.6,282.9,7,28,0.472,0.052677966,2019,2019_December,14.27731488,0.522964977,45.997921,314.3191268,17.88808039,242.7668053,17.88808039,71.55232155,53.66424116
234,"(50,60]","(40,60]",40,"(50,55]",0.4546,0.432763319,16,10.5,0.687,128,0.661717613,1.956110155,0.698492462,1,"(50,60]",16,0.511218654,1.431654676,dry,1,278.8,2019_December_CEME_3,51.12186538,0,51.12186538,-0.263,EPI,"2019_December_EPI_CEME_(50,60]","2019_December_EPI_CEME_(50,60]_3",December,6.71,96,3.69,2019_December,83,100,0.625,17,35.70823763,64.29176237,3,0.654,Wet,St. Marys,CEME,269.6,90.3,359.9,12,28,0.2324,0.221236681,2019,2019_December,12.66284235,0.522964977,24.26268481,295.7736815,36.97171018,221.8302611,27.72878264,64.70049282,36.97171018
258,"(50,60]","(40,60]",40,"(50,55]",0.394,0.296148026,9,19.5,0.608,120,0.648026316,1.841121495,0.457194245,1,"(50,60]",14,0.543147208,1.481025641,dry,1,278.8,2020_January_CEME_6,54.31472081,0,54.31472081,-0.61,EPI,"2020_January_EPI_CEME_(50,60]","2020_January_EPI_CEME_(50,60]_6",January,10,97,5.82,2020_January,12,100,1.111111111,6,36.67372077,63.32627923,6,0.457,Wet,St. Marys,CEME,268.6,24,292.6,10,24,0.214,0.160851974,2020,2020_January,15.58483577,0.522964977,65.8454498,405.202768,30.3902076,327.5389041,33.76689733,81.0405536,47.27365627
260,"(50,60]","(40,60]",40,"(55,60]",0.3514,0.394658131,6,15.5,0.5467,114,0.642765685,1.799283154,0.337237237,1,"(50,60]",13,0.555855984,1.416280864,dry,1,278.8,2020_January_CEME_2,55.58559841,0,55.58559841,-0.38,EPI,"2020_January_EPI_CEME_(50,60]","2020_January_EPI_CEME_(50,60]_2",January,10,95,5.82,2020_January,12,100,1.666666667,8,39.24758134,60.75241866,2,0.614,Wet,St. Marys,CEME,264.5,13.5,278,20,33,0.1953,0.219341869,2020,2020_January,12.80572685,0.522964977,39.2744981,288.8575989,15.20303152,240.7146658,50.67677174,83.61667337,32.93990163
274,"(50,60]","(40,60]",40,"(55,60]",0.3542,0.269950372,6,21,0.5642,104,0.627791563,1.686666667,0.457194245,1,"(50,60]",17,0.592969081,1.481025641,dry,1,278.8,2020_January_CEME_6,59.29690809,0,59.29690809,-0.61,EPI,"2020_January_EPI_CEME_(50,60]","2020_January_EPI_CEME_(50,60]_6",January,9.5,81,5.82,2020_January,12,100,1.666666667,12,40.03773226,59.96226774,6,0.43,Wet,St. Marys,CEME,276.1,1.8,277.9,9,26,0.21,0.160049628,2020,2020_January,15.31933968,0.522964977,77.79207648,385.2559978,22.22630757,300.0551521,33.33946135,96.31399945,62.9745381
280,"(50,60]","(40,60]",40,"(55,60]",0.2577,0.308389882,12,8,0.4062,140,0.634416544,1.735353535,0.961266523,1,"(50,60]",28,0.576251455,0.94735031,dry,1,238.7,2020_September_ADFA_1.4,57.62514552,0,57.62514552,-0.225,EPI,"2020_September_EPI_ADFA_(50,60]","2020_September_EPI_ADFA_(50,60]_1.4",September,0.225,100,0.01,2020_September,87,100,0.833333333,1,60.82770537,39.17229463,1.4,0.4861,Dry,St. Marys,ADFA,251.3,-13.9,237.4,13,41,0.1485,0.177710118,2020,2020_September,10.14369462,0.505959643,25.94118832,453.9707956,38.91178248,324.264854,42.15443102,132.9485901,90.79415911
308,"(50,60]","(40,60]",40,"(55,60]",0.3104,0.345480331,7,5.5,0.484,189,0.641322314,1.788018433,1.054545455,1,"(50,60]",29,0.559278351,0.948275862,dry,1,258.5,2020_September_ADFA_2.1,55.92783505,0,55.92783505,-0.319,EPI,"2020_September_EPI_ADFA_(50,60]","2020_September_EPI_ADFA_(50,60]_2.1",September,7.86,153,0.01,2020_September,87,60,1.428571429,2,58.97844423,41.02155577,2.1,0.5387,Dry,Painted Caves,ADFA,267.7,13.2,280.9,26,55,0.1736,0.193219669,2020,2020_September,8.411825331,0.505959643,15.91986435,547.0644296,20.26164554,442.8616811,75.25754059,159.1986435,83.94110296
325,"(50,60]","(40,60]",40,"(55,60]",0.3386,0.336608991,5,11,0.5272,109,0.642261002,1.79533404,1.078099174,1,"(50,60]",10,0.556999409,0.927558452,dry,1,269.8,2020_September_ADFA_1.5,55.69994093,0,55.69994093,-0.136,EPI,"2020_September_EPI_ADFA_(50,60]","2020_September_EPI_ADFA_(50,60]_1.5",September,7.252,94,0.01,2020_September,87,85,2,3,60.05006028,39.94993972,1.5,0.5241,Dry,St. Marys,ADFA,270,19.5,289.5,17,27,0.1886,0.187491009,2020,2020_September,12.99203221,0.505959643,32.67886568,323.8178508,14.85402985,279.2557613,50.5037015,80.21176121,29.70805971
331,"(50,60]","(40,60]",40,"(55,60]",0.0997,0.268182801,3,6.5,0.1564,146,0.637468031,1.758377425,1.04558762,1,"(50,60]",26,0.568706118,0.9564,dry,1,249.3,2020_September_ADFA_2.3,56.87061184,0,56.87061184,-0.106,EPI,"2020_September_EPI_ADFA_(50,60]","2020_September_EPI_ADFA_(50,60]_2.3",September,7.326,117,0.01,2020_September,87,30,3.333333333,3,59.4632077,40.5367923,2.3,0.4207,Dry,Painted Caves,ADFA,279.2,25,304.2,16,42,0.0567,0.152517199,2020,2020_September,9.695238073,0.505959643,24.23719936,544.4047855,11.1863997,436.2695884,59.66079842,156.6095958,96.94879743
335,"(40,50]","(40,60]",40,"(45,50]",0.3294,0.309278281,5,14.5,0.4862,124,0.677498972,2.100765306,1.050186645,1,"(40,50]",24,0.476017001,0.95221169,dry,1,280.2,2020_September_ADFA_2.5,47.60170006,0,47.60170006,-0.151,EPI,"2020_September_EPI_ADFA_(40,50]","2020_September_EPI_ADFA_(40,50]_2.5",September,7.76,95,0.01,2020_September,100,80,2,3,49.99066966,50.00933034,2.5,0.4565,Dry,Painted Caves,ADFA,287.6,15.7,303.3,9,33,0.1568,0.147221719,2020,2020_September,12.61118589,0.505959643,46.88334394,400.933424,16.16667032,307.1667362,29.10000658,106.7000241,77.60001756
370,"(50,60]","(40,60]",40,"(50,55]",0.3286,0.298079674,16,10.5,0.5028,143,0.653540175,1.886337543,0.933088235,1,"(50,60]",17,0.530127815,1.071710008,dry,1,287.2,2020_September_ADFA_1.6,53.0127815,0,53.0127815,-0.316,EPI,"2020_September_EPI_ADFA_(50,60]","2020_September_EPI_ADFA_(50,60]_1.6",September,7.751,110,0.01,2020_September,87,NA,0.625,5,49.46560273,50.53439727,1.6,0.4561,Dry,St. Marys,ADFA,279.4,145.8,425.2,15,32,0.1742,0.158020326,2020,2020_September,11.92898159,0.505959643,35.22548138,479.7375083,53.67692401,369.0288525,50.32211626,107.353848,57.03173176
