Observation_ID,Observation_Date,Observation_Time,Plant_Nickname,Phenophase_Status,Abundance_Category,Abundance_Category_Value,Raw_Abundance_Value,Category,Phenophase_Name,Scientific_Name,Common_Name,Latitude,Longitude,Site_Name,Elevation,Observation_Comments,Network
26402367,2021-04-24,12:00:00 AM,greenleaf manzanita-6,No,"How many fruits are present?",,NULL,Fruits,Fruits,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,"9 m2",NULL
26402368,2021-04-24,12:00:00 AM,greenleaf manzanita-6,No,"What percentage of all fruits (unripe plus ripe) on the plant are ripe? ",,NULL,Fruits,Ripe fruits,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,"9 m2",NULL
26402369,2021-04-24,12:00:00 AM,greenleaf manzanita-6,No,"How many mature fruits have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Fruits,Recent fruit or seed drop,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,"9 m2",NULL
26402370,2021-05-14,12:00:00 AM,CADE 2.1,Yes,"How many fresh pollen cones are present?","More than 10,000",NULL,Pollen cones,Pollen cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Some new growth, especially higher up on tree",NULL
26402371,2021-05-14,12:00:00 AM,CADE 2.1,Yes,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ","95% or more",NULL,Pollen cones,Open pollen cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Some new growth, especially higher up on tree",NULL
26402372,2021-05-14,12:00:00 AM,CADE 2.1,Yes,"How much pollen is released?","Lots",NULL,Pollen cones,Pollen release,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Some new growth, especially higher up on tree",NULL
26402373,2021-05-14,12:00:00 AM,CADE 2.1,Yes,"How many seed cones are unripe?","101 to 1,000",NULL,Seed cones,Unripe seed cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Some new growth, especially higher up on tree",NULL
26402374,2021-05-14,12:00:00 AM,CADE 2.1,Yes,"How many seed cones are ripe?","101 to 1,000",NULL,Seed cones,Ripe seed cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Some new growth, especially higher up on tree",NULL
26402375,2021-05-14,12:00:00 AM,CADE 2.1,No,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Some new growth, especially higher up on tree",NULL
26402376,2021-05-14,12:00:00 AM,ABCO 2.1,Yes,"How many buds are breaking?","11 to 100",NULL,Needles,Breaking needle buds,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Difficult to see open cones, seed cones (if any seed cones at all)",NULL
26402377,2021-05-14,12:00:00 AM,ABCO 2.1,Yes,"How many young needles are present?","11 to 100",NULL,Needles,Young needles,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Difficult to see open cones, seed cones (if any seed cones at all)",NULL
26402378,2021-05-14,12:00:00 AM,ABCO 2.1,Yes,"How many fresh pollen cones are present?","1,001 to 10,000",NULL,Pollen cones,Pollen cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Difficult to see open cones, seed cones (if any seed cones at all)",NULL
26402379,2021-05-14,12:00:00 AM,ABCO 2.1,Yes,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ",,NULL,Pollen cones,Open pollen cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Difficult to see open cones, seed cones (if any seed cones at all)",NULL
26402380,2021-05-14,12:00:00 AM,ABCO 2.1,?,"How much pollen is released?",,NULL,Pollen cones,Pollen release,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Difficult to see open cones, seed cones (if any seed cones at all)",NULL
26402381,2021-05-14,12:00:00 AM,ABCO 2.1,No,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Difficult to see open cones, seed cones (if any seed cones at all)",NULL
26402382,2021-05-14,12:00:00 AM,ABCO 2.1,No,"How many seed cones are ripe?",,NULL,Seed cones,Ripe seed cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Difficult to see open cones, seed cones (if any seed cones at all)",NULL
26402383,2021-05-14,12:00:00 AM,ABCO 2.1,No,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Difficult to see open cones, seed cones (if any seed cones at all)",NULL
26402384,2021-05-14,12:00:00 AM,ARPA 2.1,No,"How many buds are breaking?",,NULL,Leaves,Breaking leaf buds,Arctostaphylos patula,greenleaf manzanita,37.0173,-119.144,CZO 2,1953,,NULL
26402385,2021-05-14,12:00:00 AM,ARPA 2.1,No,"How many young leaves are present?",,NULL,Leaves,Young leaves,Arctostaphylos patula,greenleaf manzanita,37.0173,-119.144,CZO 2,1953,,NULL
26402386,2021-05-14,12:00:00 AM,ARPA 2.1,Yes,"How many flowers and flower buds are present? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), simply estimate the number of flower heads, spikes or catkins and not the number of individual flowers.","11 to 100",NULL,Flowers,Flowers or flower buds,Arctostaphylos patula,greenleaf manzanita,37.0173,-119.144,CZO 2,1953,,NULL
26402387,2021-05-14,12:00:00 AM,ARPA 2.1,Yes,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open?  For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.","50-74%",NULL,Flowers,Open flowers,Arctostaphylos patula,greenleaf manzanita,37.0173,-119.144,CZO 2,1953,,NULL
26402388,2021-05-14,12:00:00 AM,ARPA 2.1,No,"How many fruits are present?",,NULL,Fruits,Fruits,Arctostaphylos patula,greenleaf manzanita,37.0173,-119.144,CZO 2,1953,,NULL
26402389,2021-05-14,12:00:00 AM,ARPA 2.1,No,"What percentage of all fruits (unripe plus ripe) on the plant are ripe? ",,NULL,Fruits,Ripe fruits,Arctostaphylos patula,greenleaf manzanita,37.0173,-119.144,CZO 2,1953,,NULL
26402390,2021-05-14,12:00:00 AM,ARPA 2.1,No,"How many mature fruits have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Fruits,Recent fruit or seed drop,Arctostaphylos patula,greenleaf manzanita,37.0173,-119.144,CZO 2,1953,,NULL
26402391,2021-05-14,12:00:00 AM,CECO 2.1,Yes,"How many young leaves are present?","101 to 1,000",NULL,Leaves,Young leaves,Ceanothus cordulatus,whitethorn ceanothus,37.0173,-119.144,CZO 2,1953,,NULL
26402392,2021-05-14,12:00:00 AM,CECO 2.1,Yes,"How many flowers and flower buds are present? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), simply estimate the number of flower heads, spikes or catkins and not the number of individual flowers.","1,001 to 10,000",NULL,Flowers,Flowers or flower buds,Ceanothus cordulatus,whitethorn ceanothus,37.0173,-119.144,CZO 2,1953,,NULL
26402393,2021-05-14,12:00:00 AM,CECO 2.1,No,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open?  For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",,NULL,Flowers,Open flowers,Ceanothus cordulatus,whitethorn ceanothus,37.0173,-119.144,CZO 2,1953,,NULL
26402394,2021-05-14,12:00:00 AM,CECO 2.1,No,"How many fruits are present?",,NULL,Fruits,Fruits,Ceanothus cordulatus,whitethorn ceanothus,37.0173,-119.144,CZO 2,1953,,NULL
26402395,2021-05-14,12:00:00 AM,CECO 2.1,No,"What percentage of all fruits (unripe plus ripe) on the plant are ripe? ",,NULL,Fruits,Ripe fruits,Ceanothus cordulatus,whitethorn ceanothus,37.0173,-119.144,CZO 2,1953,,NULL
26402396,2021-05-14,12:00:00 AM,CECO 2.1,No,"How many mature fruits have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Fruits,Recent fruit or seed drop,Ceanothus cordulatus,whitethorn ceanothus,37.0173,-119.144,CZO 2,1953,,NULL
26402397,2021-05-14,12:00:00 AM,CADE 2.2,Yes,"How many fresh pollen cones are present?","101 to 1,000",NULL,Pollen cones,Pollen cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Difficult to spot pollen cones — higher in tree",NULL
26402398,2021-05-14,12:00:00 AM,CADE 2.2,Yes,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ",,NULL,Pollen cones,Open pollen cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Difficult to spot pollen cones — higher in tree",NULL
26402399,2021-05-14,12:00:00 AM,CADE 2.2,No,"How much pollen is released?",,NULL,Pollen cones,Pollen release,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Difficult to spot pollen cones — higher in tree",NULL
26402400,2021-05-14,12:00:00 AM,CADE 2.2,?,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Difficult to spot pollen cones — higher in tree",NULL
26402401,2021-05-14,12:00:00 AM,CADE 2.2,Yes,"How many seed cones are ripe?","101 to 1,000",NULL,Seed cones,Ripe seed cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Difficult to spot pollen cones — higher in tree",NULL
26402402,2021-05-14,12:00:00 AM,CADE 2.2,No,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Difficult to spot pollen cones — higher in tree",NULL
26402403,2021-05-14,12:00:00 AM,ABCO 2.2.,Yes,"How many buds are breaking?","11 to 100",NULL,Needles,Breaking needle buds,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Most pollen cones appear closed",NULL
26402404,2021-05-14,12:00:00 AM,ABCO 2.2.,Yes,"How many young needles are present?","11 to 100",NULL,Needles,Young needles,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Most pollen cones appear closed",NULL
26402405,2021-05-14,12:00:00 AM,ABCO 2.2.,Yes,"How many fresh pollen cones are present?","More than 10,000",NULL,Pollen cones,Pollen cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Most pollen cones appear closed",NULL
26402406,2021-05-14,12:00:00 AM,ABCO 2.2.,Yes,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ",,NULL,Pollen cones,Open pollen cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Most pollen cones appear closed",NULL
26402407,2021-05-14,12:00:00 AM,ABCO 2.2.,?,"How much pollen is released?",,NULL,Pollen cones,Pollen release,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Most pollen cones appear closed",NULL
26402408,2021-05-14,12:00:00 AM,ABCO 2.2.,?,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Most pollen cones appear closed",NULL
26402409,2021-05-14,12:00:00 AM,ABCO 2.2.,?,"How many seed cones are ripe?",,NULL,Seed cones,Ripe seed cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Most pollen cones appear closed",NULL
26402410,2021-05-14,12:00:00 AM,ABCO 2.2.,No,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Most pollen cones appear closed",NULL
26402411,2021-05-14,12:00:00 AM,ABCO 2.5,No,"How many buds are breaking?",,NULL,Needles,Breaking needle buds,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,,NULL
26402412,2021-05-14,12:00:00 AM,ABCO 2.5,No,"How many young needles are present?",,NULL,Needles,Young needles,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,,NULL
26402413,2021-05-14,12:00:00 AM,ABCO 2.5,Yes,"How many fresh pollen cones are present?","101 to 1,000",NULL,Pollen cones,Pollen cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,,NULL
26402414,2021-05-14,12:00:00 AM,ABCO 2.5,Yes,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ",,NULL,Pollen cones,Open pollen cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,,NULL
26402415,2021-05-14,12:00:00 AM,ABCO 2.5,?,"How much pollen is released?",,NULL,Pollen cones,Pollen release,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,,NULL
26402416,2021-05-14,12:00:00 AM,ABCO 2.5,?,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,,NULL
26402417,2021-05-14,12:00:00 AM,ABCO 2.5,?,"How many seed cones are ripe?",,NULL,Seed cones,Ripe seed cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,,NULL
26402418,2021-05-14,12:00:00 AM,ABCO 2.5,No,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,,NULL
26402419,2021-05-14,12:00:00 AM,CADE 2.5,Yes,"How many fresh pollen cones are present?","101 to 1,000",NULL,Pollen cones,Pollen cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,,NULL
26402420,2021-05-14,12:00:00 AM,CADE 2.5,Yes,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ","95% or more",NULL,Pollen cones,Open pollen cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,,NULL
26402421,2021-05-14,12:00:00 AM,CADE 2.5,Yes,"How much pollen is released?","Some",NULL,Pollen cones,Pollen release,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,,NULL
26402422,2021-05-14,12:00:00 AM,CADE 2.5,No,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,,NULL
26402423,2021-05-14,12:00:00 AM,CADE 2.5,Yes,"How many seed cones are ripe?","11 to 100",NULL,Seed cones,Ripe seed cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,,NULL
26402424,2021-05-14,12:00:00 AM,CADE 2.5,No,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,,NULL
26402425,2021-05-14,12:00:00 AM,CADE 2.3,Yes,"How many fresh pollen cones are present?","More than 10,000",NULL,Pollen cones,Pollen cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,,NULL
26402426,2021-05-14,12:00:00 AM,CADE 2.3,Yes,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ","95% or more",NULL,Pollen cones,Open pollen cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,,NULL
26402427,2021-05-14,12:00:00 AM,CADE 2.3,Yes,"How much pollen is released?","Lots",NULL,Pollen cones,Pollen release,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,,NULL
26402428,2021-05-14,12:00:00 AM,CADE 2.3,Yes,"How many seed cones are unripe?","101 to 1,000",NULL,Seed cones,Unripe seed cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,,NULL
26402429,2021-05-14,12:00:00 AM,CADE 2.3,Yes,"How many seed cones are ripe?","1,001 to 10,000",NULL,Seed cones,Ripe seed cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,,NULL
26402430,2021-05-14,12:00:00 AM,CADE 2.3,Yes,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?","3 to 10",NULL,Seed cones,Recent cone or seed drop,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,,NULL
26402431,2021-05-14,12:00:00 AM,ABCO 2.3,No,"How many buds are breaking?",,NULL,Needles,Breaking needle buds,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Lots of pollen cones at top",NULL
26402432,2021-05-14,12:00:00 AM,ABCO 2.3,No,"How many young needles are present?",,NULL,Needles,Young needles,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Lots of pollen cones at top",NULL
26402433,2021-05-14,12:00:00 AM,ABCO 2.3,Yes,"How many fresh pollen cones are present?","1,001 to 10,000",NULL,Pollen cones,Pollen cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Lots of pollen cones at top",NULL
26402434,2021-05-14,12:00:00 AM,ABCO 2.3,Yes,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ","75-94%",NULL,Pollen cones,Open pollen cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Lots of pollen cones at top",NULL
26402435,2021-05-14,12:00:00 AM,ABCO 2.3,?,"How much pollen is released?",,NULL,Pollen cones,Pollen release,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Lots of pollen cones at top",NULL
26402436,2021-05-14,12:00:00 AM,ABCO 2.3,No,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Lots of pollen cones at top",NULL
26402437,2021-05-14,12:00:00 AM,ABCO 2.3,No,"How many seed cones are ripe?",,NULL,Seed cones,Ripe seed cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Lots of pollen cones at top",NULL
26402438,2021-05-14,12:00:00 AM,ABCO 2.3,No,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Lots of pollen cones at top",NULL
26402439,2021-05-14,12:00:00 AM,ABCO 2.4,No,"How many buds are breaking?",,NULL,Needles,Breaking needle buds,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,,NULL
26402440,2021-05-14,12:00:00 AM,ABCO 2.4,No,"How many young needles are present?",,NULL,Needles,Young needles,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,,NULL
26402441,2021-05-14,12:00:00 AM,ABCO 2.4,Yes,"How many fresh pollen cones are present?","1,001 to 10,000",NULL,Pollen cones,Pollen cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,,NULL
26402442,2021-05-14,12:00:00 AM,ABCO 2.4,Yes,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ","75-94%",NULL,Pollen cones,Open pollen cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,,NULL
26402443,2021-05-14,12:00:00 AM,ABCO 2.4,?,"How much pollen is released?",,NULL,Pollen cones,Pollen release,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,,NULL
26402444,2021-05-14,12:00:00 AM,ABCO 2.4,?,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,,NULL
26402445,2021-05-14,12:00:00 AM,ABCO 2.4,?,"How many seed cones are ripe?",,NULL,Seed cones,Ripe seed cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,,NULL
26402446,2021-05-14,12:00:00 AM,ABCO 2.4,No,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,,NULL
26402447,2021-05-14,12:00:00 AM,CADE 2.4,No,"How many fresh pollen cones are present?",,NULL,Pollen cones,Pollen cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Small tree. Some new growth, but no visible pollen or seed cones",NULL
26402448,2021-05-14,12:00:00 AM,CADE 2.4,No,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ",,NULL,Pollen cones,Open pollen cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Small tree. Some new growth, but no visible pollen or seed cones",NULL
26402449,2021-05-14,12:00:00 AM,CADE 2.4,No,"How much pollen is released?",,NULL,Pollen cones,Pollen release,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Small tree. Some new growth, but no visible pollen or seed cones",NULL
26402450,2021-05-14,12:00:00 AM,CADE 2.4,No,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Small tree. Some new growth, but no visible pollen or seed cones",NULL
26402451,2021-05-14,12:00:00 AM,CADE 2.4,No,"How many seed cones are ripe?",,NULL,Seed cones,Ripe seed cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Small tree. Some new growth, but no visible pollen or seed cones",NULL
26402452,2021-05-14,12:00:00 AM,CADE 2.4,No,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Small tree. Some new growth, but no visible pollen or seed cones",NULL
26402453,2021-05-15,12:00:00 AM,ABCO 1.1,No,"How many buds are breaking?",,NULL,Needles,Breaking needle buds,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"Not as many pollen cones as usual",NULL
26402454,2021-05-15,12:00:00 AM,ABCO 1.1,No,"How many young needles are present?",,NULL,Needles,Young needles,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"Not as many pollen cones as usual",NULL
26402455,2021-05-15,12:00:00 AM,ABCO 1.1,Yes,"How many fresh pollen cones are present?","101 to 1,000",NULL,Pollen cones,Pollen cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"Not as many pollen cones as usual",NULL
26402456,2021-05-15,12:00:00 AM,ABCO 1.1,?,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ",,NULL,Pollen cones,Open pollen cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"Not as many pollen cones as usual",NULL
26402457,2021-05-15,12:00:00 AM,ABCO 1.1,?,"How much pollen is released?",,NULL,Pollen cones,Pollen release,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"Not as many pollen cones as usual",NULL
26402458,2021-05-15,12:00:00 AM,ABCO 1.1,?,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"Not as many pollen cones as usual",NULL
26402459,2021-05-15,12:00:00 AM,ABCO 1.1,?,"How many seed cones are ripe?",,NULL,Seed cones,Ripe seed cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"Not as many pollen cones as usual",NULL
26402460,2021-05-15,12:00:00 AM,ABCO 1.1,No,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"Not as many pollen cones as usual",NULL
26402461,2021-05-15,12:00:00 AM,CADE 1.1,Yes,"How many fresh pollen cones are present?","101 to 1,000",NULL,Pollen cones,Pollen cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,,NULL
26402462,2021-05-15,12:00:00 AM,CADE 1.1,Yes,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ","95% or more",NULL,Pollen cones,Open pollen cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,,NULL
26402463,2021-05-15,12:00:00 AM,CADE 1.1,Yes,"How much pollen is released?","Some",NULL,Pollen cones,Pollen release,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,,NULL
26402464,2021-05-15,12:00:00 AM,CADE 1.1,No,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,,NULL
26402465,2021-05-15,12:00:00 AM,CADE 1.1,Yes,"How many seed cones are ripe?","11 to 100",NULL,Seed cones,Ripe seed cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,,NULL
26402466,2021-05-15,12:00:00 AM,CADE 1.1,No,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,,NULL
26402467,2021-05-15,12:00:00 AM,CADE 1.2,Yes,"How many fresh pollen cones are present?","More than 10,000",NULL,Pollen cones,Pollen cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,,NULL
26402468,2021-05-15,12:00:00 AM,CADE 1.2,Yes,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ","75-94%",NULL,Pollen cones,Open pollen cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,,NULL
26402469,2021-05-15,12:00:00 AM,CADE 1.2,Yes,"How much pollen is released?","Lots",NULL,Pollen cones,Pollen release,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,,NULL
26402470,2021-05-15,12:00:00 AM,CADE 1.2,No,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,,NULL
26402471,2021-05-15,12:00:00 AM,CADE 1.2,Yes,"How many seed cones are ripe?","11 to 100",NULL,Seed cones,Ripe seed cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,,NULL
26402472,2021-05-15,12:00:00 AM,CADE 1.2,No,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,,NULL
26402473,2021-05-15,12:00:00 AM,ABCO 1.2,No,"How many buds are breaking?",,NULL,Needles,Breaking needle buds,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,,NULL
26402474,2021-05-15,12:00:00 AM,ABCO 1.2,No,"How many young needles are present?",,NULL,Needles,Young needles,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,,NULL
26402475,2021-05-15,12:00:00 AM,ABCO 1.2,Yes,"How many fresh pollen cones are present?","1,001 to 10,000",NULL,Pollen cones,Pollen cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,,NULL
26402476,2021-05-15,12:00:00 AM,ABCO 1.2,Yes,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ","Less than 5%",NULL,Pollen cones,Open pollen cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,,NULL
26402477,2021-05-15,12:00:00 AM,ABCO 1.2,No,"How much pollen is released?",,NULL,Pollen cones,Pollen release,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,,NULL
26402478,2021-05-15,12:00:00 AM,ABCO 1.2,No,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,,NULL
26402479,2021-05-15,12:00:00 AM,ABCO 1.2,No,"How many seed cones are ripe?",,NULL,Seed cones,Ripe seed cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,,NULL
26402480,2021-05-15,12:00:00 AM,ABCO 1.2,No,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,,NULL
26402481,2021-05-15,12:00:00 AM,ABCO 1.3,No,"How many buds are breaking?",,NULL,Needles,Breaking needle buds,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,,NULL
26402482,2021-05-15,12:00:00 AM,ABCO 1.3,No,"How many young needles are present?",,NULL,Needles,Young needles,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,,NULL
